task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,siena07,f9/178e13,nf-f9178e13ee42615a18c61a0e62e2877d-2815a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1759791459387,1759791461000,1759791471000,11613,10000,-,99.4,0.0,4763648,12410880,4763648,12414976,3147402981,5950,48261,20,0,16384,1,133,wow://input/data/work/f9/178e13ee42615a18c61a0e62e2877d,true,-,-,-,5,163
2,siena07,12/c678b3,nf-12c678b394992c4bb869c7c8d55c627d-2815a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1759791459216,1759791460000,1759791481000,21784,20000,-,0.3,0.0,3076096,23150592,3076096,23154688,690120,9278,247,18,5029888,20480,2,0,wow://input/data/work/12/c678b394992c4bb869c7c8d55c627d,true,-,-,-,5,129
4,siena07,6e/c9c939,nf-6ec9c939914775cb63fcc8373615ab51-18c5b,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1759791473930,1759791475000,1759791478000,4070,2000,-,1.6,0.0,12607488,53760000,12607488,53764096,101986,26543,195,23,802816,20480,14,2,wow://input/data/work/6e/c9c939914775cb63fcc8373615ab51,true,-,-,-,5,149
1,siena07,3a/2cfa8a,nf-3a2cfa8ac3e8f4245af54c57a35c1c3f-2815a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1759791459075,1759791460000,1759791500000,40925,39000,-,47.2,1.4,2856505344,2877734912,2856505344,2877739008,916296171,25693123,112010,3154,929792,25702400,729,3131,wow://input/data/work/3a/2cfa8ac3e8f4245af54c57a35c1c3f,true,-,-,-,39,261
7,siena07,84/956fb6,nf-84956fb6dc8d1b07e394fe7c2b37d8f8-79e6a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791483978,1759791484000,1759791546000,62022,61000,-,105.1,0.5,1039495168,4696502272,1039495168,4697866240,770943616,1748399,1472007,5480,21393408,2191360,25,6,wow://input/data/work/84/956fb6dc8d1b07e394fe7c2b37d8f8,true,-,-,-,10,196
11,siena09,b0/d2d9f4,nf-b0d2d9f47ee96f7ac6b48b8ab17b7de0-ab940,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791484669,1759791485000,1759791549000,64331,63000,-,104.3,0.5,1039826944,4832825344,1040035840,4899938304,807659123,1747927,1543715,5508,0,2179072,9,3,wow://input/data/work/b0/d2d9f47ee96f7ac6b48b8ab17b7de0,true,-,-,-,5,175
6,siena07,a3/750a5e,nf-a3750a5e90bb6d67a42bd854f2dc4bef-79e6a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791484187,1759791484000,1759791553000,68813,68000,-,104.4,0.5,1039085568,4764663808,1039085568,4766027776,836339519,1751063,1599730,5510,0,2224128,3,12,wow://input/data/work/a3/750a5e90bb6d67a42bd854f2dc4bef,true,-,-,-,6,200
14,siena13,2e/4520eb,nf-2e4520eb3e3b68822c17abbf010f2ccb-2a519,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791485368,1759791485000,1759791551000,65632,64000,-,104.5,0.5,1040056320,4696502272,1040195584,4763615232,821980568,1746344,1571688,5505,4198400,2179072,11,9,wow://input/data/work/2e/4520eb3e3b68822c17abbf010f2ccb,true,-,-,-,4,178
19,siena11,b0/759d4c,nf-b0759d4c149b92e3cc160793d4b25f6a-f2c2b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791486583,1759791487000,1759791553000,66417,65000,-,104.0,0.5,1039781888,4832825344,1040318464,4897841152,827167678,1751200,1581815,5511,0,2191360,11,15,wow://input/data/work/b0/759d4c149b92e3cc160793d4b25f6a,true,-,-,-,4,104
12,siena09,48/b58863,nf-48b588635107a6259e6bf351ddd3d6ec-dae6d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791484776,1759791485000,1759791559000,74224,73000,-,103.4,0.5,1038786560,4832825344,1038786560,4899938304,942085856,1753536,1806269,5512,4198400,2236416,15,14,wow://input/data/work/48/b588635107a6259e6bf351ddd3d6ec,true,-,-,-,5,101
15,siena14,bd/79f3ee,nf-bd79f3ee477f7d7225ad371ff208c0d5-bccb6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791485874,1759791486000,1759791558000,72126,71000,-,104.7,0.5,1039941632,4832825344,1039941632,4899938304,886090815,1754309,1696904,5523,4198400,2199552,11,11,wow://input/data/work/bd/79f3ee477f7d7225ad371ff208c0d5,true,-,-,-,89,102
18,siena15,b6/58215e,nf-b658215eb85bc5b0a1603070f8cbdc02-c93fe,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791486176,1759791486000,1759791565000,78824,78000,-,104.7,0.5,1039392768,4764663808,1039392768,4766027776,1006890139,1751387,1932840,5516,4198400,2232320,12,9,wow://input/data/work/b6/58215eb85bc5b0a1603070f8cbdc02,true,-,-,-,4,104
22,siena12,f8/aadc73,nf-f8aadc73b077c664d1fe1b5a5886cd02-21209,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791486871,1759791487000,1759791562000,75129,74000,-,103.7,0.5,1038974976,4696502272,1038974976,4763615232,955616939,1768102,1832696,5519,0,2236416,11,8,wow://input/data/work/f8/aadc73b077c664d1fe1b5a5886cd02,true,-,-,-,8,195
13,siena09,dc/c2e0cd,nf-dcc2e0cd5d1a1f04cf4cfe7ed89d553b-2a519,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791485185,1759791485000,1759791568000,82815,82000,-,103.9,0.6,1123647488,4912906240,1124872192,4914216960,1042605434,1756187,2002537,5501,0,2281472,13,11,wow://input/data/work/dc/c2e0cd5d1a1f04cf4cfe7ed89d553b,true,-,-,-,4,106
9,siena07,e0/82c0d9,nf-e082c0d9f2aa99e4f311fc2240221aa0-ab940,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791484487,1759791484000,1759791581000,96513,96000,-,103.3,0.5,1038479360,4696502272,1038479360,4763615232,1241572037,1747020,2391143,5483,0,2326528,3,0,wow://input/data/work/e0/82c0d9f2aa99e4f311fc2240221aa0,true,-,-,-,5,213
8,siena14,78/167182,nf-781671826c7597a942d2df0ac2c3759a-1fb48,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1759791485073,1759791485000,1759791617000,131927,132000,-,420.4,1.2,2376937472,3474755584,2413031424,3539771392,15628054444,14824451047,2103242,444456,81920,654532608,798846,2419,wow://input/data/work/78/1671826c7597a942d2df0ac2c3759a,true,-,-,-,85,101
16,siena11,9e/a689da,nf-9ea689dae06007233d5b12dc325a2c50-6172e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1759791485682,1759791486000,1759791625000,139318,139000,-,417.3,1.2,2352701440,3404443648,2390208512,3406131200,16369867087,15529519482,2211027,465250,0,686264320,806247,4906,wow://input/data/work/9e/a689dae06007233d5b12dc325a2c50,true,-,-,-,5,107
5,siena13,a9/c6a754,nf-a9c6a754d4557b1b75a741ad743ae2ed-fbfb2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1759791484886,1759791485000,1759791629000,144114,144000,-,410.4,1.2,2341908480,3540803584,2385272832,3542151168,16935045955,16066021394,2279530,481116,0,711258112,856171,2759,wow://input/data/work/a9/c6a754d4557b1b75a741ad743ae2ed,true,-,-,-,4,104
17,siena12,e6/a8d532,nf-e6a8d532761f3fd55c760557e3bdf6f0-a1e60,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1759791485987,1759791486000,1759791646000,160013,160000,-,423.9,1.2,2408755200,3540766720,2441871360,3542462464,18876879527,17900629277,2557155,534919,0,803753984,959642,4597,wow://input/data/work/e6/a8d532761f3fd55c760557e3bdf6f0,true,-,-,-,4,107
206,siena07,ee/ae7e61,nf-eeae7e615f1585f4cf19ed6ead27259d-6dbe8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791499601,1759791548000,1759791657000,157399,108000,-,102.8,0.5,1038499840,4764663808,1038499840,4766027776,1365527860,1748852,2633247,5486,0,2351104,4,3,wow://input/data/work/ee/ae7e615f1585f4cf19ed6ead27259d,true,-,-,-,4,22
160,siena09,8f/b2e109,nf-8fb2e1092e257bbe35cafb10ebc159bc-7a130,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4me1_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791496586,1759791562000,1759791661000,164414,98000,-,103.2,0.5,1037574144,4764663808,1037901824,4765962240,1258303098,1739142,2423825,5491,0,2338816,5,3,wow://input/data/work/8f/b2e1092e257bbe35cafb10ebc159bc,true,-,-,-,3,80
164,siena07,79/bef62a,nf-79bef62a74dc59b88107c4243b1265c8-a7502,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4me1_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791497001,1759791555000,1759791660000,162999,104000,-,102.7,0.5,1037688832,4696502272,1037869056,4763615232,1301456472,1745484,2508112,5507,0,2351104,4,3,wow://input/data/work/79/bef62a74dc59b88107c4243b1265c8,true,-,-,-,4,21
167,siena09,dc/dee3e5,nf-dcdee3e56ffed0dabb55f29010fcece4-4c9d4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4me1_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791497086,1759791552000,1759791657000,159914,104000,-,103.3,0.5,1037860864,4696502272,1038114816,4763615232,1328498363,1740696,2560932,5492,0,2347008,5,2,wow://input/data/work/dc/dee3e56ffed0dabb55f29010fcece4,true,-,-,-,4,80
178,siena09,3d/691606,nf-3d691606678f8c3f6573e1d3ab2e38a3-80c34,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,Med1_VCAP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (Med1_VCAP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791498014,1759791570000,1759791664000,165986,93000,-,103.4,0.5,1039437824,4764663808,1039437824,4766027776,1215216627,1749276,2339670,5514,0,2318336,5,4,wow://input/data/work/3d/691606678f8c3f6573e1d3ab2e38a3,true,-,-,-,3,35
202,siena11,1b/78fe38,nf-1b78fe3856b42240329504db90acca54-8e6e6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791499401,1759791555000,1759791659000,159599,103000,-,101.5,0.5,1038327808,4832825344,1038327808,4899938304,1291556402,1751545,2488774,5515,0,2342912,5,3,wow://input/data/work/1b/78fe3856b42240329504db90acca54,true,-,-,-,3,105
194,siena13,ed/9e42a2,nf-ed9e42a20a4316d7b5245632751165c6-d8890,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791499119,1759791553000,1759791661000,161881,106000,-,100.4,0.6,1136922624,4844744704,1136922624,4904132608,1326532083,1730772,2557089,5465,0,2330624,5,5,wow://input/data/work/ed/9e42a20a4316d7b5245632751165c6,true,-,-,-,16,17
207,siena14,e6/eb77b5,nf-e6eb77b50c9cca622ed6d64dd4761542-0f64c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791500074,1759791560000,1759791660000,159926,99000,-,102.4,0.5,1037664256,4764663808,1037664256,4829679616,1267630485,1751945,2442045,5517,0,2314240,5,3,wow://input/data/work/e6/eb77b50c9cca622ed6d64dd4761542,true,-,-,-,3,82
198,siena12,71/0ce159,nf-710ce1594420ce5c37ef045a7cc5a20c-5cc5e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791499292,1759791565000,1759791663000,163708,97000,-,102.9,0.5,1039511552,4832825344,1039511552,4834189312,1256747562,1746315,2420789,5504,0,2297856,5,4,wow://input/data/work/71/0ce1594420ce5c37ef045a7cc5a20c,true,-,-,-,3,19
76,siena15,6a/3e1598,nf-6a3e1598f1d528444df898b564102f0f-7baa0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H2Bk15ac_VCAP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H2Bk15ac_VCAP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791490886,1759791567000,1759791663000,172114,95000,-,102.9,0.5,1040494592,4832825344,1040494592,4900237312,1231689313,1754924,2371845,5519,0,2285568,5,2,wow://input/data/work/6a/3e1598f1d528444df898b564102f0f,true,-,-,-,4,74
193,siena07,6d/1f3d39,nf-6d1f3d3974224ceb4cc41a97f805caa2-79fd7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791498875,1759791583000,1759791679000,180125,95000,-,103.3,0.5,1038417920,4832825344,1038417920,4899938304,1212948364,1754381,2335240,5520,0,2342912,4,1,wow://input/data/work/6d/1f3d3974224ceb4cc41a97f805caa2,true,-,-,-,4,92
10,siena15,e0/cf9c27,nf-e0cf9c27d5cffc8c14638697157156a0-3b78b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1759791485568,1759791486000,1759791696000,210432,209000,-,423.4,1.2,2646528000,3472666624,2688749568,3537682432,25008043578,23732428144,3386684,707142,0,1064169472,1249742,10832,wow://input/data/work/e0/cf9c27d5cffc8c14638697157156a0,true,-,-,-,6,191
84,siena09,a7/36f5e8,nf-a736f5e81b3f7f0890f2373f13dae887-85497,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H2Bk15ac_VCAP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H2Bk15ac_VCAP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791491295,1759791664000,1759791754000,262705,89000,-,103.8,0.5,1037512704,4764663808,1037512704,4831776768,1167586277,1751433,2246644,5486,0,2326528,5,3,wow://input/data/work/a7/36f5e81b3f7f0890f2373f13dae887,true,-,-,-,4,62
100,siena07,01/c7d996,nf-01c7d99698f35cb3058f395a5d86cc08-607d9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791492197,1759791660000,1759791754000,261803,93000,-,103.6,0.5,1036673024,4764663808,1036673024,4766027776,1211928562,1752012,2333244,5507,0,2359296,4,1,wow://input/data/work/01/c7d99698f35cb3058f395a5d86cc08,true,-,-,-,3,17
145,siena12,5c/481573,nf-5c4815733a97afc31281bf0f5759e630-7d2e6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K4m1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4m1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791495483,1759791666000,1759791754000,258517,87000,-,103.6,0.5,1112694784,4912906240,1112694784,4912910336,1123366349,1754316,2160275,5518,0,2252800,5,4,wow://input/data/work/5c/4815733a97afc31281bf0f5759e630,true,-,-,-,3,76
173,siena15,34/9cd206,nf-349cd2064a8efaa16a2b139b7a09b209-187dd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,Med1_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (Med1_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791497481,1759791666000,1759791752000,254519,85000,-,103.5,0.5,1035722752,4628340736,1036750848,4629639168,1126383484,1741657,2166168,5472,0,2260992,5,3,wow://input/data/work/34/9cd2064a8efaa16a2b139b7a09b209,true,-,-,-,4,76
183,siena07,df/a1668c,nf-dfa1668c7a5bdc48a5db341b124808f7-12aec,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,Med1_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (Med1_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791498294,1759791663000,1759791754000,255706,89000,-,103.2,0.5,1039863808,4832825344,1040404480,4899938304,1176337418,1755847,2263734,5523,0,2310144,4,2,wow://input/data/work/df/a1668c7a5bdc48a5db341b124808f7,true,-,-,-,4,22
88,siena09,e0/48496b,nf-e048496b4bd223b2ae982b9beec39270-1c6d5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791491481,1759791661000,1759791758000,266519,96000,-,103.0,0.6,1126240256,4912906240,1129119744,4975824896,1209605028,1754414,2328711,5517,0,2412544,5,4,wow://input/data/work/e0/48496b4bd223b2ae982b9beec39270,true,-,-,-,4,85
97,siena14,23/f144d1,nf-23f144d1c5e8afe7b17e47a2b7ab7a67-d54eb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791492002,1759791663000,1759791756000,263998,91000,-,103.3,0.6,1146056704,4912906240,1147629568,4916228096,1174035039,1740702,2259238,5478,0,2252800,5,3,wow://input/data/work/23/f144d1c5e8afe7b17e47a2b7ab7a67,true,-,-,-,4,19
111,siena13,02/9df262,nf-029df262884952699b3a229a72dd5f1d-bf68b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K27ac_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K27ac_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759791492686,1759791665000,1759791755000,262314,89000,-,102.8,0.5,1038503936,4764663808,1038503936,4766027776,1129036366,1754017,2171352,5500,0,2265088,5,2,wow://input/data/work/02/9df262884952699b3a229a72dd5f1d,true,-,-,-,4,62
